bienestar_id,Student_ID,Burnout_Risk_Level,Burnout_Encoded,Perceived_AI_Dependency,Dependencia_Alta,Anxiety_Level_During_Exams
100001,100001,High,2,5,0,6
100002,100002,Low,0,3,0,9
100003,100003,Medium,1,5,0,9
100004,100004,Medium,1,2,0,2
100005,100005,Medium,1,4,0,4
100006,100006,High,2,4,0,5
100007,100007,Medium,1,8,1,7
100008,100008,Medium,1,2,0,1
100009,100009,Medium,1,1,0,5
100010,100010,High,2,3,0,8
100011,100011,High,2,5,0,3
100012,100012,Medium,1,3,0,3
100013,100013,High,2,2,0,4
100014,100014,Medium,1,2,0,3
100015,100015,Low,0,2,0,4
100016,100016,Medium,1,4,0,4
100017,100017,Medium,1,5,0,8
100018,100018,Medium,1,4,0,5
100019,100019,Medium,1,1,0,2
100020,100020,Medium,1,1,0,4
100021,100021,Low,0,4,0,3
100022,100022,Low,0,2,0,6
100023,100023,Medium,1,2,0,3
100024,100024,Low,0,1,0,8
100025,100025,Medium,1,8,1,7
100026,100026,High,2,2,0,2
100027,100027,Medium,1,6,0,2
100028,100028,High,2,5,0,1
100029,100029,Low,0,1,0,4
100030,100030,Medium,1,5,0,4
100031,100031,Low,0,2,0,6
100032,100032,Medium,1,5,0,5
100033,100033,Medium,1,3,0,5
100034,100034,Medium,1,2,0,1
100035,100035,High,2,7,1,3
100036,100036,High,2,2,0,5
100037,100037,Low,0,1,0,5
100038,100038,Low,0,5,0,4
100039,100039,High,2,1,0,5
100040,100040,Medium,1,2,0,2
100041,100041,Medium,1,5,0,8
100042,100042,Low,0,1,0,5
100043,100043,Medium,1,3,0,4
100044,100044,Medium,1,4,0,4
100045,100045,Low,0,4,0,7
100046,100046,Low,0,2,0,5
100047,100047,Medium,1,4,0,3
100048,100048,Medium,1,2,0,3
100049,100049,High,2,1,0,3
100050,100050,Medium,1,5,0,4
100051,100051,High,2,3,0,6
100052,100052,High,2,6,0,5
100053,100053,Low,0,5,0,6
100054,100054,Medium,1,4,0,1
100055,100055,Medium,1,2,0,5
100056,100056,High,2,6,0,2
100057,100057,Medium,1,4,0,4
100058,100058,Medium,1,4,0,4
100059,100059,Medium,1,3,0,4
100060,100060,Medium,1,2,0,8
100061,100061,Low,0,4,0,5
100062,100062,Medium,1,1,0,1
100063,100063,High,2,6,0,5
100064,100064,Low,0,2,0,3
100065,100065,Low,0,2,0,4
100066,100066,Medium,1,3,0,5
100067,100067,Medium,1,3,0,2
100068,100068,Medium,1,2,0,3
100069,100069,High,2,4,0,2
100070,100070,Low,0,5,0,5
100071,100071,High,2,6,0,7
100072,100072,Medium,1,8,1,6
100073,100073,Low,0,3,0,5
100074,100074,Low,0,4,0,3
100075,100075,Low,0,5,0,3
100076,100076,Medium,1,2,0,5
100077,100077,Low,0,1,0,7
