perfil_id,Student_ID,Major_Category,Year_of_Study,Year_Encoded,Prompt_Engineering_Skill,Prompt_Skill_Encoded
100001,100001,Humanities,Senior,4,Beginner,1
100002,100002,Medical,Junior,3,Advanced,3
100003,100003,Business,Freshman,1,Beginner,1
100004,100004,Business,Senior,4,Intermediate,2
100005,100005,STEM,Sophomore,2,Advanced,3
100006,100006,STEM,Junior,3,Beginner,1
100007,100007,STEM,Freshman,1,Advanced,3
100008,100008,Arts,Junior,3,Intermediate,2
100009,100009,Business,Sophomore,2,Beginner,1
100010,100010,Business,Sophomore,2,Intermediate,2
100011,100011,STEM,Graduate,5,Advanced,3
100012,100012,Medical,Junior,3,Intermediate,2
100013,100013,Arts,Senior,4,Beginner,1
100014,100014,STEM,Junior,3,Beginner,1
100015,100015,STEM,Freshman,1,Beginner,1
100016,100016,STEM,Senior,4,Beginner,1
100017,100017,Humanities,Sophomore,2,Advanced,3
100018,100018,Business,Senior,4,Advanced,3
100019,100019,Humanities,Junior,3,Beginner,1
100020,100020,STEM,Sophomore,2,Intermediate,2
100021,100021,Business,Sophomore,2,Intermediate,2
100022,100022,STEM,Senior,4,Beginner,1
100023,100023,STEM,Junior,3,Intermediate,2
100024,100024,Humanities,Senior,4,Beginner,1
100025,100025,Humanities,Freshman,1,Beginner,1
100026,100026,Arts,Senior,4,Advanced,3
100027,100027,STEM,Sophomore,2,Advanced,3
100028,100028,Business,Junior,3,Intermediate,2
100029,100029,Business,Freshman,1,Beginner,1
100030,100030,STEM,Sophomore,2,Advanced,3
100031,100031,Business,Senior,4,Intermediate,2
100032,100032,STEM,Sophomore,2,Intermediate,2
100033,100033,STEM,Graduate,5,Advanced,3
100034,100034,Medical,Senior,4,Intermediate,2
100035,100035,Medical,Graduate,5,Beginner,1
100036,100036,Arts,Sophomore,2,Intermediate,2
100037,100037,Humanities,Freshman,1,Advanced,3
100038,100038,STEM,Junior,3,Intermediate,2
100039,100039,Business,Sophomore,2,Intermediate,2
100040,100040,Humanities,Junior,3,Intermediate,2
100041,100041,STEM,Senior,4,Advanced,3
100042,100042,Humanities,Senior,4,Beginner,1
