uso_ia_id,Student_ID,Weekly_GenAI_Hours,Nivel_Uso_IA,Uso_IA_Encoded,Primary_Use_Case,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours
100001,100001,23.31,Alto,2,Copywriting/Drafting,1,1,8.13
100002,100002,1.12,Bajo,0,Ideation,5,0,16.65
100003,100003,21.26,Alto,2,Summarizing_Reading,2,0,10.35
100004,100004,1.82,Bajo,0,Copywriting/Drafting,4,0,15.23
100005,100005,9.29,Medio,1,Debugging/Troubleshooting,4,0,12.55
100006,100006,6.5,Medio,1,Debugging/Troubleshooting,1,0,14.19
100007,100007,31.41,Alto,2,Summarizing_Reading,5,1,13.11
100008,100008,5.33,Medio,1,Copywriting/Drafting,3,0,18.45
100009,100009,2.0,Bajo,0,Debugging/Troubleshooting,2,1,2.87
100010,100010,19.99,Alto,2,Debugging/Troubleshooting,2,1,12.49
100011,100011,5.16,Medio,1,Summarizing_Reading,3,0,11.43
100012,100012,3.62,Bajo,0,Direct_Answer_Generation,3,0,8.05
100013,100013,2.86,Bajo,0,Copywriting/Drafting,2,0,8.95
100014,100014,8.95,Medio,1,Direct_Answer_Generation,1,0,25.3
100015,100015,1.22,Bajo,0,Copywriting/Drafting,1,0,16.52
100016,100016,14.74,Medio,1,Debugging/Troubleshooting,1,1,12.59
100017,100017,2.08,Bajo,0,Direct_Answer_Generation,3,0,15.15
100018,100018,8.03,Medio,1,Direct_Answer_Generation,4,0,10.7
100019,100019,0.51,Bajo,0,Summarizing_Reading,1,0,10.84
100020,100020,0.2,Bajo,0,Debugging/Troubleshooting,4,0,3.69
100021,100021,1.63,Bajo,0,Copywriting/Drafting,4,0,18.71
100022,100022,4.91,Bajo,0,Debugging/Troubleshooting,1,0,15.78
100023,100023,10.48,Medio,1,Copywriting/Drafting,2,1,2.75
100024,100024,0.45,Bajo,0,Ideation,1,1,10.61
100025,100025,28.72,Alto,2,Copywriting/Drafting,1,0,8.24
100026,100026,2.38,Bajo,0,Ideation,4,1,11.33
100027,100027,18.62,Alto,2,Debugging/Troubleshooting,5,1,14.29
100028,100028,23.96,Alto,2,Ideation,2,1,6.54
100029,100029,0.68,Bajo,0,Ideation,1,0,17.89
100030,100030,12.83,Medio,1,Debugging/Troubleshooting,4,1,10.25
100031,100031,1.26,Bajo,0,Direct_Answer_Generation,4,1,16.16
100032,100032,0.72,Bajo,0,Debugging/Troubleshooting,2,0,11.77
100033,100033,1.27,Bajo,0,Direct_Answer_Generation,3,0,16.16
100034,100034,5.56,Medio,1,Summarizing_Reading,5,0,9.89
100035,100035,19.92,Alto,2,Summarizing_Reading,2,1,1.0
100036,100036,1.17,Bajo,0,Direct_Answer_Generation,4,1,3.67
100037,100037,0.29,Bajo,0,Copywriting/Drafting,3,0,7.46
100038,100038,16.77,Alto,2,Debugging/Troubleshooting,3,1,1.0
100039,100039,1.58,Bajo,0,Ideation,4,1,13.34
100040,100040,4.19,Bajo,0,Debugging/Troubleshooting,3,0,10.81
100041,100041,7.17,Medio,1,Debugging/Troubleshooting,3,1,8.95
100042,100042,0.41,Bajo,0,Summarizing_Reading,3,1,11.3
100043,100043,8.06,Medio,1,Debugging/Troubleshooting,3,0,8.42
100044,100044,4.67,Bajo,0,Summarizing_Reading,3,0,8.21
100045,100045,14.47,Medio,1,Debugging/Troubleshooting,3,0,9.36
100046,100046,6.34,Medio,1,Ideation,2,0,21.22
100047,100047,6.26,Medio,1,Copywriting/Drafting,1,0,11.84
100048,100048,8.04,Medio,1,Direct_Answer_Generation,2,1,10.5
100049,100049,8.78,Medio,1,Ideation,3,0,5.97
100050,100050,13.39,Medio,1,Summarizing_Reading,2,1,20.87
100051,100051,11.13,Medio,1,Summarizing_Reading,4,1,15.85
