Student_ID,Pre_Semester_GPA,Post_Semester_GPA,Cambio_GPA,Skill_Retention_Score,Riesgo_Academico,Estudio_Total,perfil_id,uso_ia_id,bienestar_id,institucion_id
100001,2.418,2.393,-0.025,86.44,1,31.44,100001,100001,100001,2
100002,3.821,3.696,-0.125,69.39,0,17.77,100002,100002,100002,2
100003,3.398,3.499,0.101,73.93,0,31.61,100003,100003,100003,1
100004,3.789,4.0,0.211,63.58,0,17.05,100004,100004,100004,2
100005,3.635,3.798,0.163,100.0,0,21.84,100005,100005,100005,2
100006,3.449,3.666,0.217,65.92,0,20.69,100006,100006,100006,2
100007,3.622,4.0,0.378,67.97,0,44.52,100007,100007,100007,2
100008,2.746,2.965,0.219,85.09,0,23.78,100008,100008,100008,3
100009,3.42,3.396,-0.024,55.71,0,4.87,100009,100009,100009,1
100010,3.046,2.978,-0.068,87.18,0,32.48,100010,100010,100010,1
100011,3.407,3.617,0.21,95.42,0,16.59,100011,100011,100011,2
100012,2.627,2.699,0.072,72.41,0,11.67,100012,100012,100012,3
100013,3.479,3.612,0.133,67.68,0,11.81,100013,100013,100013,3
100014,3.225,3.935,0.71,64.47,0,34.25,100014,100014,100014,2
100015,3.202,3.122,-0.08,70.7,0,17.74,100015,100015,100015,2
100016,2.076,2.228,0.152,70.66,1,27.33,100016,100016,100016,2
100017,2.931,3.214,0.283,59.69,0,17.23,100017,100017,100017,1
100018,3.156,3.39,0.234,90.65,0,18.73,100018,100018,100018,2
100019,2.975,3.412,0.437,53.95,0,11.35,100019,100019,100019,2
100020,3.305,3.187,-0.118,74.23,0,3.89,100020,100020,100020,2
100021,2.636,2.758,0.122,78.28,0,20.34,100021,100021,100021,1
100022,3.529,3.358,-0.171,67.56,0,20.69,100022,100022,100022,2
100023,3.551,3.749,0.198,68.81,0,13.23,100023,100023,100023,2
100024,3.579,3.76,0.181,55.33,0,11.06,100024,100024,100024,2
100025,2.364,2.588,0.224,63.38,0,36.96,100025,100025,100025,1
100026,3.308,4.0,0.692,81.85,0,13.71,100026,100026,100026,3
100027,3.338,3.822,0.484,82.36,0,32.91,100027,100027,100027,2
100028,3.302,3.487,0.185,67.74,0,30.5,100028,100028,100028,2
100029,3.282,3.088,-0.194,74.67,0,18.57,100029,100029,100029,3
100030,3.638,4.0,0.362,61.29,0,23.08,100030,100030,100030,2
100031,3.731,3.989,0.258,88.44,0,17.42,100031,100031,100031,2
100032,1.449,1.342,-0.107,56.81,1,12.49,100032,100032,100032,2
100033,2.856,3.276,0.42,74.03,0,17.43,100033,100033,100033,2
100034,3.148,3.335,0.187,89.14,0,15.45,100034,100034,100034,2
100035,3.12,3.207,0.087,67.2,0,20.92,100035,100035,100035,2
100036,3.632,3.553,-0.079,55.89,0,4.84,100036,100036,100036,1
100037,3.303,3.145,-0.158,75.11,0,7.75,100037,100037,100037,2
100038,3.671,3.636,-0.035,96.68,0,17.77,100038,100038,100038,2
100039,2.403,2.365,-0.038,74.3,1,14.92,100039,100039,100039,2
100040,3.086,3.452,0.366,92.44,0,15.0,100040,100040,100040,3
100041,2.31,2.686,0.376,84.71,0,16.12,100041,100041,100041,2
100042,3.539,3.812,0.273,72.05,0,11.71,100042,100042,100042,2
100043,3.777,3.909,0.132,68.22,0,16.48,100043,100043,100043,2
100044,3.048,3.277,0.229,79.79,0,12.88,100044,100044,100044,1
100045,3.013,3.447,0.434,62.75,0,23.83,100045,100045,100045,2
100046,3.503,3.942,0.439,99.25,0,27.56,100046,100046,100046,1
100047,3.842,4.0,0.158,76.67,0,18.1,100047,100047,100047,2
100048,3.511,3.567,0.056,86.73,0,18.54,100048,100048,100048,3
100049,2.645,2.884,0.239,87.51,0,14.75,100049,100049,100049,1
100050,3.115,3.644,0.529,83.76,0,34.26,100050,100050,100050,2
100051,3.577,4.0,0.423,61.2,0,26.98,100051,100051,100051,1
100052,2.433,2.903,0.47,69.95,0,23.98,100052,100052,100052,3
