Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level,Cambio_GPA,Nivel_Uso_IA,Dependencia_Alta,Estudio_Total,Riesgo_Academico,Year_Encoded,Prompt_Skill_Encoded,Policy_Encoded,Burnout_Encoded,Uso_IA_Encoded
100001,Humanities,Senior,2.418,23.31,Copywriting/Drafting,Beginner,1,1,8.13,5,Allowed_With_Citation,6,2.393,86.44,High,-0.025,Alto,0,31.44,1,4,1,1,2,2
100002,Medical,Junior,3.821,1.12,Ideation,Advanced,5,0,16.65,3,Allowed_With_Citation,9,3.696,69.39,Low,-0.125,Bajo,0,17.77,0,3,3,1,0,0
100003,Business,Freshman,3.398,21.26,Summarizing_Reading,Beginner,2,0,10.35,5,Strict_Ban,9,3.499,73.93,Medium,0.101,Alto,0,31.61,0,1,1,0,1,2
100004,Business,Senior,3.789,1.82,Copywriting/Drafting,Intermediate,4,0,15.23,2,Allowed_With_Citation,2,4.0,63.58,Medium,0.211,Bajo,0,17.05,0,4,2,1,1,0
100005,STEM,Sophomore,3.635,9.29,Debugging/Troubleshooting,Advanced,4,0,12.55,4,Allowed_With_Citation,4,3.798,100.0,Medium,0.163,Medio,0,21.84,0,2,3,1,1,1
100006,STEM,Junior,3.449,6.5,Debugging/Troubleshooting,Beginner,1,0,14.19,4,Allowed_With_Citation,5,3.666,65.92,High,0.217,Medio,0,20.69,0,3,1,1,2,1
100007,STEM,Freshman,3.622,31.41,Summarizing_Reading,Advanced,5,1,13.11,8,Allowed_With_Citation,7,4.0,67.97,Medium,0.378,Alto,1,44.52,0,1,3,1,1,2
100008,Arts,Junior,2.746,5.33,Copywriting/Drafting,Intermediate,3,0,18.45,2,Actively_Encouraged,1,2.965,85.09,Medium,0.219,Medio,0,23.78,0,3,2,2,1,1
100009,Business,Sophomore,3.42,2.0,Debugging/Troubleshooting,Beginner,2,1,2.87,1,Strict_Ban,5,3.396,55.71,Medium,-0.024,Bajo,0,4.87,0,2,1,0,1,0
100010,Business,Sophomore,3.046,19.99,Debugging/Troubleshooting,Intermediate,2,1,12.49,3,Strict_Ban,8,2.978,87.18,High,-0.068,Alto,0,32.48,0,2,2,0,2,2
100011,STEM,Graduate,3.407,5.16,Summarizing_Reading,Advanced,3,0,11.43,5,Allowed_With_Citation,3,3.617,95.42,High,0.21,Medio,0,16.59,0,5,3,1,2,1
100012,Medical,Junior,2.627,3.62,Direct_Answer_Generation,Intermediate,3,0,8.05,3,Actively_Encouraged,3,2.699,72.41,Medium,0.072,Bajo,0,11.67,0,3,2,2,1,0
100013,Arts,Senior,3.479,2.86,Copywriting/Drafting,Beginner,2,0,8.95,2,Actively_Encouraged,4,3.612,67.68,High,0.133,Bajo,0,11.81,0,4,1,2,2,0
100014,STEM,Junior,3.225,8.95,Direct_Answer_Generation,Beginner,1,0,25.3,2,Allowed_With_Citation,3,3.935,64.47,Medium,0.71,Medio,0,34.25,0,3,1,1,1,1
100015,STEM,Freshman,3.202,1.22,Copywriting/Drafting,Beginner,1,0,16.52,2,Allowed_With_Citation,4,3.122,70.7,Low,-0.08,Bajo,0,17.74,0,1,1,1,0,0
100016,STEM,Senior,2.076,14.74,Debugging/Troubleshooting,Beginner,1,1,12.59,4,Allowed_With_Citation,4,2.228,70.66,Medium,0.152,Medio,0,27.33,1,4,1,1,1,1
100017,Humanities,Sophomore,2.931,2.08,Direct_Answer_Generation,Advanced,3,0,15.15,5,Strict_Ban,8,3.214,59.69,Medium,0.283,Bajo,0,17.23,0,2,3,0,1,0
100018,Business,Senior,3.156,8.03,Direct_Answer_Generation,Advanced,4,0,10.7,4,Allowed_With_Citation,5,3.39,90.65,Medium,0.234,Medio,0,18.73,0,4,3,1,1,1
